epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.421,0.97392,3.44783,1.34664,0.53623,0.10429,0.15881,0.13281,0.70119,3.4896,1.20705,0.00019355,0.00019355,0.00019355
2,269.992,0.94445,2.39806,1.32356,0.44362,0.48352,0.47707,0.40902,0.66377,2.24736,1.14531,0.000381837,0.000381837,0.000381837
3,371.541,0.89946,1.8374,1.29363,0.56407,0.57634,0.61224,0.51487,0.71286,1.9208,1.18762,0.000562362,0.000562362,0.000562362
4,393.897,0.87693,1.54176,1.25263,0.64793,0.68653,0.70314,0.60215,0.70507,1.9162,1.15405,0.000553073,0.000553073,0.000553073
5,416.087,0.85511,1.39848,1.23296,0.82363,0.761,0.79036,0.65145,0.67484,1.50446,1.14744,0.00054143,0.00054143,0.00054143
6,438.484,0.81928,1.29062,1.20754,0.70862,0.81161,0.85983,0.7314,0.6089,1.29299,1.06709,0.000529788,0.000529788,0.000529788
7,461.017,0.80049,1.17762,1.18832,0.82527,0.80944,0.86247,0.73964,0.5906,1.18431,1.04171,0.000518146,0.000518146,0.000518146
8,483.312,0.79791,1.11111,1.17083,0.78057,0.85308,0.88644,0.76006,0.57252,1.09179,1.03182,0.000506503,0.000506503,0.000506503
9,505.744,0.77347,1.06169,1.1643,0.80607,0.82872,0.87109,0.76986,0.59,1.08967,1.03435,0.000494861,0.000494861,0.000494861
10,528.171,0.7624,1.01899,1.15541,0.85923,0.74219,0.89021,0.77162,0.54744,1.01236,0.99782,0.000483218,0.000483218,0.000483218
11,550.682,0.75094,0.9823,1.14733,0.74168,0.91028,0.88539,0.78079,0.53482,0.95332,1.00397,0.000471576,0.000471576,0.000471576
12,573.291,0.73493,0.92366,1.13675,0.73374,0.8843,0.85687,0.76021,0.5241,0.94986,1.00058,0.000459934,0.000459934,0.000459934
13,595.921,0.71856,0.87965,1.12161,0.93353,0.8846,0.9209,0.83043,0.51679,0.83817,1.00026,0.000448291,0.000448291,0.000448291
14,618.615,0.72252,0.86491,1.12163,0.89265,0.90649,0.93596,0.79969,0.54707,0.85328,0.99138,0.000436649,0.000436649,0.000436649
15,641.143,0.72031,0.85063,1.12815,0.75313,0.93441,0.93507,0.8333,0.48658,0.78608,0.95422,0.000425006,0.000425006,0.000425006
16,663.7,0.70887,0.83312,1.11378,0.88242,0.86609,0.92406,0.82264,0.49181,0.75793,0.95051,0.000413364,0.000413364,0.000413364
17,686.347,0.702,0.81518,1.11878,0.87529,0.84064,0.93105,0.85873,0.4565,0.70012,0.92852,0.000401722,0.000401722,0.000401722
18,709.309,0.69662,0.79705,1.11046,0.88205,0.89997,0.93305,0.85816,0.43814,0.65773,0.90659,0.000390079,0.000390079,0.000390079
19,732.043,0.69745,0.76233,1.1057,0.8523,0.90201,0.92593,0.84245,0.45255,0.67507,0.91948,0.000378437,0.000378437,0.000378437
20,754.538,0.6834,0.75088,1.10196,0.83931,0.90597,0.90736,0.8245,0.46262,0.62496,0.94076,0.000366794,0.000366794,0.000366794
21,777.169,0.69277,0.74589,1.11192,0.9073,0.87787,0.93168,0.8456,0.46294,0.66491,0.94772,0.000355152,0.000355152,0.000355152
22,799.961,0.67496,0.71196,1.09089,0.9172,0.88067,0.93142,0.85132,0.45043,0.66549,0.91945,0.00034351,0.00034351,0.00034351
23,822.726,0.669,0.69363,1.09023,0.85503,0.90941,0.92608,0.83725,0.44594,0.62834,0.94074,0.000331867,0.000331867,0.000331867
24,845.384,0.67048,0.68869,1.08493,0.86243,0.93402,0.941,0.85943,0.43407,0.62047,0.91704,0.000320225,0.000320225,0.000320225
25,868.259,0.63801,0.67483,1.07255,0.90121,0.88624,0.92615,0.84472,0.42778,0.58848,0.9079,0.000308582,0.000308582,0.000308582
26,891.084,0.65828,0.67389,1.08494,0.88379,0.92277,0.94183,0.85739,0.4268,0.60479,0.91724,0.00029694,0.00029694,0.00029694
27,913.773,0.6501,0.64725,1.07562,0.88809,0.90116,0.92511,0.84682,0.40971,0.58775,0.8954,0.000285298,0.000285298,0.000285298
28,936.358,0.64533,0.64582,1.07422,0.83472,0.92008,0.9354,0.85219,0.42579,0.58866,0.91035,0.000273655,0.000273655,0.000273655
29,958.825,0.63001,0.628,1.06192,0.90277,0.88205,0.92431,0.85583,0.39596,0.58155,0.8867,0.000262013,0.000262013,0.000262013
30,981.406,0.62481,0.61606,1.05745,0.89214,0.88492,0.93205,0.84003,0.42392,0.58713,0.91345,0.00025037,0.00025037,0.00025037
31,1005.33,0.63206,0.61095,1.06416,0.89469,0.86824,0.93579,0.85654,0.42188,0.57355,0.91888,0.000238728,0.000238728,0.000238728
32,1028.21,0.61598,0.59472,1.05501,0.89709,0.90392,0.93824,0.86525,0.40739,0.57726,0.90378,0.000227086,0.000227086,0.000227086
33,1050.85,0.6166,0.59351,1.06309,0.91226,0.9013,0.9432,0.86676,0.40358,0.54817,0.90011,0.000215443,0.000215443,0.000215443
34,1073.55,0.61695,0.58516,1.05655,0.88429,0.87314,0.92448,0.8569,0.39747,0.56909,0.88885,0.000203801,0.000203801,0.000203801
35,1096.14,0.59905,0.56539,1.04243,0.87168,0.89448,0.92257,0.84199,0.39784,0.53634,0.88693,0.000192158,0.000192158,0.000192158
36,1118.96,0.60704,0.56439,1.04989,0.90978,0.90438,0.93559,0.86107,0.38483,0.53803,0.87934,0.000180516,0.000180516,0.000180516
37,1141.46,0.60249,0.55245,1.03826,0.90953,0.902,0.92683,0.8554,0.39985,0.53953,0.8987,0.000168874,0.000168874,0.000168874
38,1164.09,0.58947,0.54973,1.03696,0.88888,0.90426,0.93714,0.85792,0.38826,0.53623,0.87693,0.000157231,0.000157231,0.000157231
39,1187,0.59409,0.55454,1.04238,0.91407,0.89688,0.93174,0.86073,0.38135,0.51507,0.86707,0.000145589,0.000145589,0.000145589
40,1209.68,0.58449,0.53327,1.04016,0.91804,0.8985,0.94206,0.88661,0.38515,0.49537,0.87186,0.000133946,0.000133946,0.000133946
41,1253.73,0.50131,0.44283,0.97243,0.90751,0.90751,0.92556,0.85568,0.40055,0.52978,0.8865,0.000122304,0.000122304,0.000122304
42,1275.98,0.50054,0.43101,0.98016,0.9091,0.91042,0.94227,0.8741,0.38681,0.50577,0.88164,0.000110662,0.000110662,0.000110662
43,1298.47,0.49092,0.4191,0.96457,0.90162,0.91814,0.94412,0.87538,0.37648,0.49361,0.86691,9.90192e-05,9.90192e-05,9.90192e-05
